Date,Observer,Temperature (F),Wind (mph),StudyLocation,Treatment ,StartTime,PatchID,PointID,Species2min,SpeciesCode2min,Distance2min,Species5min,SpeciesCode5min,Distance5min
4/5/2024,BO,45,4,Garden City,Urban,7:56,GC 4,GC 4.1,House Sparrow,HOSP,28.1,Eurasian Collared Dove,EUCD,41
8/28/2024,"BO, RR",70,1,Garden City,Urban,8:44,GC 7,GC 7.2,Eurasian Collared Dove,EUCD,28.2,Eurasian Collared Dove,EUCD,141.6
8/28/2024,"BO, RR",67,3,Garden City,Urban,7:34,GC 1,GC 1.1,House Sparrow,HOSP,28.3,Eurasian Collared Dove,EUCD,57.8
4/5/2024,"ED, NB, JS",54,12,McPherson,Urban,10:13,MC11,MC11.2,House Sparrow,HOSP,28.5,NA,NA,NA
4/2/2024,BO,44,2,Garden City,Urban,8:27,GC 22,GC 22.1,Eurasian Collared Dove,EUCD,28.5,European Starling,EUST,35.8
4/22/2024,JS/NB,46,11,Topeka,Urban,8:10,2,2.1,European Starling,EUST,28.6,American Robin,AMRO,32.8
4/30/2024,JS/NB,59,9,Topeka,Urban,7:58,14,14.1,Nashville Warbler,NAWA,28.6,Red-bellied Woodpecker,RBWO,52.9
4/24/2024,RR,62,2,Garden City,Rural,11:20,CN 3,CN 3.3,Savannah Sparrow,SAVS,28.7,Red-winged Blackbird,RWBL,180.6
8/7/2024,"BO, RR",68,1,Garden City,Rural,7:26,CN 2,CN 2.3,Orchard Oriole,OROR,28.8,American Coot,AMCO,151.3
4/12/2024,JS/NB,42,7,Topeka,WMA,7:42,10,10.1,American Robin,AMRO,29,White-breasted Nuthatch,WBNU,48.5
7/10/2024,NB,66,4,Topeka,Urban,7:29,3,3.2,European Starling,EUST,29,NA,NA,NA
7/15/2024,"GA, CL",79,14,McPherson,Rural,6:04,BB3,BB3.1,European Starling,EUST,29,European Starling,EUST,45
7/16/2024,"ED,GA",77,10,Inman,WMA,8:07,IN3,IN3.2,Red-winged Blackbird,RWBL,29,Eastern Meadowlark ,EAME,76
7/18/2024,"ED,GA",73,7,McPherson,Urban,9:32,MC25,MC25.1,Mourning Dove,MODO,29,NA,NA,NA
7/22/2024,"CL,GA",72,2,McPherson,Rural,9:26,MC24,MC24.1,Eastern Kingbird,EAKI,29,Common Grackle,COGR,81
4/1/2024,BO,46,2,Garden City,Urban,10:02,GC18,GC18.2,European Starling,EUST,29,Eurasian Collared Dove,EUCD,142.5
4/4/2024,BO,38,2,Garden City,Urban,8:11,GC 11,GC 11.1,European Starling,EUST,29,American Robin,AMRO,28.1
4/23/2024,NB,59,8,Topeka,Urban,9:58,16,16.2,Common Grackle,COGR,29.1,Canada Goose,CANG,205
4/4/2024,"ED, NB, JS",63,9,McPherson,Urban,3:01,MC9,MC9.2,American Robin,AMRO,29.3,European Starling,EUST,15.7
7/11/2024,NB,76,6,Topeka,WMA,10:11,10,10.2,Chipping Sparrow,CHSP,29.5,House Sparrow,HOSP,34.6
8/29/2024,"BO, IW",68,1,Garden City,Urban,7:27,GC 14,GC 14.1,Eurasian Collared Dove,EUCD,29.5,European Starling,EUST,157.5
8/30/2024,BO,63,1,Garden City,Urban,7:30,GC 10,GC 10.1,Eurasian Collared Dove,EUCD,29.5,American Robin,AMRO,17.9
5/3/2024,JS/NB,54,5,Topeka,Urban,8:34,15,15.2,Northern Flicker,NOFL,29.6,Great Crested Flycatcher,GCFL,Only Heard
4/17/2024,BO,55,2,Garden City,WMA,9:26,BR 4,BR 4.2,White-crowned Sparrow,WCSP,29.6,White-crowned Sparrow,WCSP,225
5/1/2024,JS/NB,60,11,Topeka,Urban,8:33,21,21.1,White-crowned Sparrow,WCSP,29.7,NA,NA,NA
4/25/2024,JS/NB,56,11,Topeka,WMA,10:17,8,8.1,Northern Cardinal,NOCA,29.8,Brown-headed Cowbird,BHCO,Only Heard
4/4/2024,"ED, NB, JS",41,9,McPherson,Urban,9:06,MC5,MC5.2,European Starling,EUST,29.9,NA,NA,NA
4/4/2024,"ED, NB, JS",41,9,McPherson,Urban,9:06,MC5,MC5.2,American Robin,AMRO,29.9,NA,NA,NA
4/19/2024,JS/NB,43,4,Topeka,WMA,7:52,2,2.1,Barred Owl,BDOW,30,Tufted Titmouse,TUTI,Only Heard
4/19/2024,JS/NB,47,3,Topeka,WMA,9:41,21,21.2,Blue-gray Gnatcatcher,BGGN,30,American Goldfinch,AGOL,25
4/23/2024,NB,57,7,Topeka,Urban,8:18,22,22.1,American Robin,AMRO,30,Common Grackle,COGR,27.4
8/20/2024,ED,64,3,Topeka,WMA,7:15,8,8.2,Mourning Dove,MODO,30,Northern Cardinal,NOCA,73
7/22/2024,"CL,GA",63,2,McPherson,Rural,7:21,BB9,BB9.2,Mallard,MALL,30,NA,NA,NA
7/29/2024,"GA,CL",74,11,McPherson,Urban,7:14,MC5,MC5.1,Mourning Dove,MODO,30,House Sparrow,HOSP,28
8/7/2024,CL,69,9,McPherson,Urban,8:39,MC15,MC15.1,Eastern Kingbird,EAKI,30,Upland Sandpiper,UPSA,92
8/13/2024,CL,74,11,McPherson,Urban,10:09,MC2,MC2.2,Blue Jay,BLJA,30,European Starling,EUST,109
8/15/2024,CL,79,5,McPherson,Urban,9:38,MC8,MC8.2,House Finch,HOFI,30,NA,NA,NA
8/1/2024,IW,67,1,Garden City,Rural,7:01,CN 5,CN 5.2,Blue Grosbeak,BLGR,30,NA,NA,NA
8/14/2024,"RR, IW",71,1,Garden City,WMA,6:59,BR 6,BR 6.2,Mourning Dove,MODO,30,NA,NA,NA
8/14/2024,"RR, IW",73,1,Garden City,Urban,8:48,GC 18,GC 18.1,Eurasian Collared Dove,EUCD,30,House Finch,HOFI,18
8/26/2024,IW,72,0,Garden City,Urban,7:41,GC 19,GC 19.1,European Starling,EUST,30,NA,NA,NA
8/26/2024,IW,72,0,Garden City,Urban,7:41,GC 19,GC 19.1,Eurasian Collared Dove,EUCD,30,NA,NA,NA
4/4/2024,"ED, NB, JS",41,9,McPherson,Urban,9:06,MC5,MC5.2,sparrow,NA,30.1,NA,NA,NA
4/2/2024,BO,45,3,Garden City,Urban,8:44,GC 22,GC 22.2,Eurasian Collared Dove,EUCD,30.1,NA,NA,NA
8/28/2024,"BO, RR",67,1,Garden City,Urban,7:55,GC 4,GC 4.2,Eurasian Collared Dove,EUCD,30.1,Eurasian Collared Dove,EUCD,97.2
4/22/2024,JS/NB,44,11,Topeka,Urban,7:35,5,5.2,American Robin,AMRO,30.2,House Sparrow,HOSP,95
7/30/2024,NB,80,13,Topeka,Urban,7:30,19,19.1,Red-winged Blackbird,RWBL,30.3,Red-winged Blackbird,RWBL,26.4
5/3/2024,JS/NB,63,10,Topeka,Urban,10:37,7,7.2,Common Grackle,COGR,30.4,Blue Jay,BLJA,Only Heard
4/2/2024,BO,45,4,Garden City,Urban,13:27,GC 21,GC 21.2,Grackle,NA,30.4,NA,NA,NA
4/25/2024,JS/NB,56,11,Topeka,WMA,9:38,6,6.1,House Sparrow,HOSP,30.5,NA,NA,NA
4/3/2024,BO,38,2,Garden City,Urban,9:56,GC 16,GC 16.1,Eurasian Collared Dove,EUCD,30.5,NA,NA,NA
4/4/2024,"ED, NB, JS",37,8,McPherson,Urban,8:28,MC5,MC5.1,Wood Duck,WODU,30.6,American Robin,AMRO,31.5
4/1/2024,BO,46,2,Garden City,Urban,9:51,GC17,GC17.2,European Starling,EUST,30.6,American Robin,AMRO,42.9
